date,avg_sf_temperature,index_id
06/19/2013,62.0,846
06/19/2014,61.0,847
06/19/2015,59.0,848
06/19/2016,72.0,849
06/19/2017,79.0,850
06/20/2013,61.0,851
06/20/2014,62.0,852
06/20/2015,59.0,853
06/20/2016,73.0,854
06/20/2017,74.0,855
06/21/2013,60.0,856
06/21/2014,60.0,857
06/21/2015,58.0,858
06/21/2016,74.0,859
06/21/2017,70.0,860
06/22/2013,61.0,861
06/22/2014,58.0,862
06/22/2015,58.0,863
06/22/2016,69.0,864
06/22/2017,77.0,865
06/23/2013,65.0,866
06/23/2014,59.0,867
06/23/2015,59.0,868
06/23/2016,66.0,869
06/23/2017,73.0,870
06/24/2013,63.0,871
06/24/2014,62.0,872
06/24/2015,60.0,873
06/24/2016,68.0,874
06/24/2017,69.0,875
06/25/2013,61.0,876
06/25/2014,62.0,877
06/25/2015,66.0,878
06/25/2016,72.0,879
06/25/2017,66.0,880
06/26/2013,64.0,881
06/26/2014,61.0,882
06/26/2015,74.0,883
06/26/2016,72.0,884
06/26/2017,66.0,885
06/27/2013,69.0,886
06/27/2014,61.0,887
06/27/2015,68.0,888
06/27/2016,73.0,889
06/27/2017,66.0,890
06/28/2013,71.0,891
06/28/2014,63.0,892
06/28/2015,68.0,893
06/28/2016,73.0,894
06/28/2017,64.0,895
06/29/2013,74.0,896
06/29/2014,66.0,897
06/29/2015,67.0,898
06/29/2016,67.0,899
06/29/2017,65.0,900
06/30/2013,78.0,901
06/30/2014,65.0,902
06/30/2015,73.0,903
06/30/2016,66.0,904
06/30/2017,64.0,905
07/01/2013,73.0,906
07/01/2014,66.0,907
07/01/2015,74.0,908
07/01/2016,69.0,909
07/01/2017,66.0,910
07/02/2013,69.0,911
07/02/2014,65.0,912
07/02/2015,73.0,913
07/02/2016,67.0,914
07/02/2017,67.0,915
07/03/2013,70.0,916
07/03/2014,65.0,917
07/03/2015,70.0,918
07/03/2016,66.0,919
07/03/2017,67.0,920
07/04/2013,68.0,921
07/04/2014,63.0,922
07/04/2015,70.0,923
07/04/2016,65.0,924
07/04/2017,68.0,925
07/05/2013,73.0,926
07/05/2014,63.0,927
07/05/2015,68.0,928
07/05/2016,64.0,929
07/05/2017,68.0,930
07/06/2013,67.0,931
07/06/2014,66.0,932
07/06/2015,68.0,933
07/06/2016,63.0,934
07/06/2017,70.0,935
07/07/2013,63.0,936
07/07/2014,65.0,937
07/07/2015,69.0,938
07/07/2016,62.0,939
07/07/2017,75.0,940
07/08/2013,64.0,941
07/08/2014,67.0,942
07/08/2015,65.0,943
07/08/2016,63.0,944
07/08/2017,78.0,945
07/09/2013,65.0,946
07/09/2014,65.0,947
07/09/2015,63.0,948
07/09/2016,68.0,949
07/09/2017,70.0,950
07/10/2013,68.0,951
07/10/2014,66.0,952
07/10/2015,64.0,953
07/10/2016,65.0,954
07/10/2017,71.0,955
07/11/2013,69.0,956
07/11/2014,66.0,957
07/11/2015,67.0,958
07/11/2016,69.0,959
07/11/2017,70.0,960
07/12/2013,62.0,961
07/12/2014,66.0,962
07/12/2015,68.0,963
07/12/2016,66.0,964
07/12/2017,69.0,965
07/13/2013,62.0,966
07/13/2014,65.0,967
07/13/2015,69.0,968
07/13/2016,69.0,969
07/13/2017,69.0,970
07/14/2013,65.0,971
07/14/2014,70.0,972
07/14/2015,67.0,973
07/14/2016,63.0,974
07/14/2017,69.0,975
07/15/2013,63.0,976
07/15/2014,67.0,977
07/15/2015,68.0,978
07/15/2016,59.0,979
07/15/2017,70.0,980
07/16/2013,62.0,981
07/16/2014,67.0,982
07/16/2015,69.0,983
07/16/2016,59.0,984
07/16/2017,77.0,985
07/17/2013,61.0,986
07/17/2014,64.0,987
07/17/2015,69.0,988
07/17/2016,60.0,989
07/17/2017,75.0,990
07/18/2013,64.0,991
07/18/2014,64.0,992
07/18/2015,69.0,993
07/18/2016,60.0,994
07/18/2017,65.0,995
07/19/2013,64.0,996
07/19/2014,65.0,997
07/19/2015,72.0,998
07/19/2016,70.0,999
07/19/2017,65.0,1000
07/20/2013,65.0,1001
07/20/2014,65.0,1002
07/20/2015,78.0,1003
07/20/2016,69.0,1004
07/20/2017,66.0,1005
07/21/2013,65.0,1006
07/21/2014,66.0,1007
07/21/2015,69.0,1008
07/21/2016,64.0,1009
07/21/2017,66.0,1010
07/22/2013,65.0,1011
07/22/2014,65.0,1012
07/22/2015,66.0,1013
07/22/2016,67.0,1014
07/22/2017,67.0,1015
07/23/2013,66.0,1016
07/23/2014,67.0,1017
07/23/2015,65.0,1018
07/23/2016,72.0,1019
07/23/2017,72.0,1020
07/24/2013,68.0,1021
07/24/2014,66.0,1022
07/24/2015,67.0,1023
07/24/2016,72.0,1024
07/24/2017,67.0,1025
07/25/2013,69.0,1026
07/25/2014,73.0,1027
07/25/2015,67.0,1028
07/25/2016,69.0,1029
07/25/2017,67.0,1030
07/26/2013,70.0,1031
07/26/2014,72.0,1032
07/26/2015,67.0,1033
07/26/2016,73.0,1034
07/26/2017,66.0,1035
07/27/2013,67.0,1036
07/27/2014,69.0,1037
07/27/2015,71.0,1038
07/27/2016,76.0,1039
07/27/2017,67.0,1040
07/28/2013,65.0,1041
07/28/2014,66.0,1042
07/28/2015,75.0,1043
07/28/2016,71.0,1044
07/28/2017,67.0,1045
07/29/2013,63.0,1046
07/29/2014,66.0,1047
07/29/2015,78.0,1048
